DATE,CSUSHPINSA
1987-01-01,63.735
1987-02-01,64.135
1987-03-01,64.47
1987-04-01,64.973
1987-05-01,65.547
1987-06-01,66.218
1987-07-01,66.786
1987-08-01,67.26899999999999
1987-09-01,67.623
1987-10-01,67.902
1987-11-01,68.092
1987-12-01,68.343
1988-01-01,68.582
1988-02-01,68.915
1988-03-01,69.324
1988-04-01,69.788
1988-05-01,70.408
1988-06-01,71.067
1988-07-01,71.686
1988-08-01,72.186
1988-09-01,72.574
1988-10-01,72.822
1988-11-01,73.065
1988-12-01,73.278
1989-01-01,73.616
1989-02-01,73.967
1989-03-01,74.40899999999999
1989-04-01,74.867
1989-05-01,75.296
1989-06-01,75.696
1989-07-01,76.042
1989-08-01,76.273
1989-09-01,76.421
1989-10-01,76.488
1989-11-01,76.521
1989-12-01,76.497
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.038
1990-05-01,77.296
1990-06-01,77.505
1990-07-01,77.56
1990-08-01,77.479
1990-09-01,77.229
1990-10-01,76.91199999999999
1990-11-01,76.381
1990-12-01,75.972
1991-01-01,75.533
1991-02-01,75.249
1991-03-01,75.13600000000001
1991-04-01,75.315
1991-05-01,75.768
1991-06-01,76.253
1991-07-01,76.517
1991-08-01,76.594
1991-09-01,76.575
1991-10-01,76.29
1991-11-01,76.03
1991-12-01,75.844
1992-01-01,75.699
1992-02-01,75.654
1992-03-01,75.813
1992-04-01,76.079
1992-05-01,76.39699999999999
1992-06-01,76.602
1992-07-01,76.711
1992-08-01,76.73100000000001
1992-09-01,76.628
1992-10-01,76.597
1992-11-01,76.578
1992-12-01,76.464
1993-01-01,76.39399999999999
1993-02-01,76.327
1993-03-01,76.382
1993-04-01,76.66
1993-05-01,77.03
1993-06-01,77.516
1993-07-01,77.885
1993-08-01,78.13
1993-09-01,78.197
1993-10-01,78.171
1993-11-01,78.169
1993-12-01,78.113
1994-01-01,78.19800000000001
1994-02-01,78.204
1994-03-01,78.348
1994-04-01,78.7
1994-05-01,79.208
1994-06-01,79.7
1994-07-01,80.062
1994-08-01,80.316
1994-09-01,80.339
1994-10-01,80.304
1994-11-01,80.169
1994-12-01,80.078
1995-01-01,80.027
1995-02-01,79.992
1995-03-01,80.078
1995-04-01,80.369
1995-05-01,80.691
1995-06-01,81.068
1995-07-01,81.41199999999999
1995-08-01,81.654
1995-09-01,81.738
1995-10-01,81.727
1995-11-01,81.631
1995-12-01,81.513
1996-01-01,81.42699999999999
1996-02-01,81.399
1996-03-01,81.665
1996-04-01,82.124
1996-05-01,82.602
1996-06-01,83.04799999999999
1996-07-01,83.41799999999999
1996-08-01,83.645
1996-09-01,83.70100000000001
1996-10-01,83.62899999999999
1996-11-01,83.556
1996-12-01,83.49
1997-01-01,83.53
1997-02-01,83.596
1997-03-01,83.911
1997-04-01,84.32
1997-05-01,84.86399999999999
1997-06-01,85.398
1997-07-01,85.84100000000001
1997-08-01,86.15
1997-09-01,86.31
1997-10-01,86.40799999999999
1997-11-01,86.631
1997-12-01,86.84700000000001
1998-01-01,87.162
1998-02-01,87.37200000000001
1998-03-01,87.876
1998-04-01,88.557
1998-05-01,89.37299999999999
1998-06-01,90.194
1998-07-01,90.85799999999999
1998-08-01,91.406
1998-09-01,91.751
1998-10-01,91.99799999999999
1998-11-01,92.196
1998-12-01,92.443
1999-01-01,92.713
1999-02-01,92.98
1999-03-01,93.61
1999-04-01,94.436
1999-05-01,95.36
1999-06-01,96.363
1999-07-01,97.191
1999-08-01,97.896
1999-09-01,98.399
1999-10-01,98.83200000000001
1999-11-01,99.149
1999-12-01,99.54299999999999
2000-01-01,100.00
2000-02-01,100.571
2000-03-01,101.46600000000001
2000-04-01,102.54
2000-05-01,103.70100000000001
2000-06-01,104.855
2000-07-01,105.721
2000-08-01,106.521
2000-09-01,107.135
2000-10-01,107.728
2000-11-01,108.29
2000-12-01,108.791
2001-01-01,109.214
2001-02-01,109.641
2001-03-01,110.39399999999999
2001-04-01,111.24700000000001
2001-05-01,112.20200000000001
2001-06-01,113.272
2001-07-01,114.226
2001-08-01,114.98700000000001
2001-09-01,115.464
2001-10-01,115.68
2001-11-01,115.838
2001-12-01,116.056
2002-01-01,116.43700000000001
2002-02-01,116.917
2002-03-01,117.929
2002-04-01,119.208
2002-05-01,120.788
2002-06-01,122.33200000000001
2002-07-01,123.686
2002-08-01,124.729
2002-09-01,125.493
2002-10-01,126.13600000000001
2002-11-01,126.64200000000001
2002-12-01,127.15
2003-01-01,127.652
2003-02-01,128.326
2003-03-01,129.308
2003-04-01,130.488
2003-05-01,131.839
2003-06-01,133.225
2003-07-01,134.64700000000002
2003-08-01,135.965
2003-09-01,137.076
2003-10-01,137.975
2003-11-01,138.764
2003-12-01,139.627
2004-01-01,140.705
2004-02-01,142.028
2004-03-01,144.08
2004-04-01,146.179
2004-05-01,148.334
2004-06-01,150.518
2004-07-01,152.33700000000002
2004-08-01,153.814
2004-09-01,155.108
2004-10-01,156.298
2004-11-01,157.496
2004-12-01,158.67
2005-01-01,160.13
2005-02-01,161.924
2005-03-01,164.576
2005-04-01,166.99900000000002
2005-05-01,169.544
2005-06-01,172.015
2005-07-01,174.097
2005-08-01,175.923
2005-09-01,177.61
2005-10-01,178.75099999999998
2005-11-01,179.673
2005-12-01,180.107
2006-01-01,180.828
2006-02-01,181.5
2006-03-01,182.74900000000002
2006-04-01,183.648
2006-05-01,184.38
2006-06-01,184.547
